TimeStamp,val0,val1,val2,val3
2017-10-09 18:29:35,8.8512018685,7.3378293367,9.178728925,2.753579441
2017-10-09 18:29:36,-2.8119056862,-2.3543534772,-2.696581308,-1.6842447304
2017-10-09 18:29:37,0.1776835375,-0.3061404606,0.1782355866,-0.1858828894
2017-10-09 18:29:38,10.5416668239,10.3265702874,12.918785148,5.2124636366
2017-10-09 18:29:39,-1.3290701376,-2.6333564024,-1.9717547858,1.6350314649
2017-10-09 18:29:40,6.1359295538,4.4486652846,5.8327404715,3.6658794975
2017-10-09 18:29:41,13.2943084397,11.2984760025,14.6615571544,5.9640034763
2017-10-09 18:29:42,-1.4315991687,-2.3386557252,-1.5331825223,0.0053365311
2017-10-09 18:29:43,7.9268386263,6.9635164996,9.4171203837,2.1405073783
2017-10-09 18:29:44,10.1167440374,9.4238185607,12.9248472702,4.8479787864
2017-10-09 18:29:45,-2.6590343717,-4.081590668,-2.7124883615,0.5065408764
2017-10-09 18:29:46,8.0661492452,7.4670530568,10.1662649102,3.9804770583
2017-10-09 18:29:47,6.5983238426,6.1884101972,8.5778297913,2.6214553752
2017-10-09 18:29:48,-4.8496976332,-6.1739979233,-6.3609221551,-1.3302200551
2017-10-09 18:29:49,6.6399018253,6.9128280371,7.119662663,3.0974961958
2017-10-09 18:29:50,-0.068789869,0.3668073794,0.4915528261,-0.8176791456
2017-10-09 18:29:51,-9.4126824091,-8.0456814044,-9.8917694995,-3.12043783
2017-10-09 18:29:52,3.7738707464,4.0723134423,3.4684676625,1.8691339244
2017-10-09 18:29:53,-5.6918340628,-4.1417686329,-6.2189736504,-2.9872002763
2017-10-09 18:29:54,-11.1987271916,-9.7744019554,-13.5672923835,-5.1664284797
2017-10-09 18:29:55,2.6172819799,2.9511889997,-0.6875898486,1.6945982669
2017-10-09 18:29:56,-9.2680525635,-7.9881169655,-10.861049177,-2.4511386547
2017-10-09 18:29:57,-9.7450821444,-9.0185641842,-12.3790690542,-4.9114078666
2017-10-09 18:29:58,2.6394058203,3.0206998852,2.0738716236,-0.1940323248
2017-10-09 18:29:59,-9.8883529049,-9.0021018543,-11.4644734341,-4.3526536176
2017-10-09 18:29:60,-7.9013522387,-4.8932834477,-8.2089015544,-2.9452198865
2017-10-09 18:29:61,4.9481820639,4.4114408431,3.6965197048,1.3935881378
2017-10-09 18:29:62,-9.0623460206,-8.4703431509,-11.1920271948,-3.2863475092
2017-10-09 18:29:63,-0.1542023471,-1.0089842714,-0.6390598819,-0.6804625087
2017-10-09 18:29:64,6.3785721942,6.1090265895,7.8197295967,2.3016982461
2017-10-09 18:29:65,-5.0410719116,-5.0892514184,-7.6572214923,-1.0064095782
2017-10-09 18:29:66,6.278542279,4.8973558874,6.367626692,2.5384025519
2017-10-09 18:29:67,7.2120119902,7.9031927695,9.9572770636,2.565996231
2017-10-09 18:29:68,-2.8175944296,-3.9321044816,-0.3657188557,0.2523536787
2017-10-09 18:29:69,10.5536855834,7.9949275351,12.3221658539,3.903939875
2017-10-09 18:29:70,9.0341680194,7.9686600305,12.9780659082,3.6081012486
2017-10-09 18:29:71,-2.0787423014,-1.4635923535,-0.1205042098,0.2967674668
2017-10-09 18:29:72,11.8046896115,11.198121468,15.6851841132,5.3606348759
2017-10-09 18:29:73,5.8051461131,5.221814629,7.0782001589,3.8336408568
2017-10-09 18:29:74,-2.7917149477,-3.2483543229,-0.9778526197,0.9673832015
2017-10-09 18:29:75,11.6276981855,10.3752057253,12.3008520116,4.4584861827
2017-10-09 18:29:76,1.7404445429,0.2954577015,1.5318440563,0.8821182737
2017-10-09 18:29:77,-4.8981888285,-4.2440991839,-4.6570539504,-2.0334601933
2017-10-09 18:29:78,8.0103329281,8.0225221847,9.4715167992,3.3785406063
2017-10-09 18:29:79,-5.8016957134,-5.2847701804,-4.2763103033,-2.7289641496
2017-10-09 18:29:80,-4.4995115333,-5.5435003269,-7.5721516338,-4.1995035222
2017-10-09 18:29:81,4.4412358145,5.0479414203,3.9997362968,0.4935083905
2017-10-09 18:29:82,-9.4490645315,-9.1762417557,-13.2724449946,-4.2731534329
2017-10-09 18:29:83,-6.4906326077,-5.9262988127,-8.5846923032,-3.5411474453
2017-10-09 18:29:84,1.823068667,2.5802883772,0.5928516785,-0.6490732244
2017-10-09 18:29:85,-13.0790642971,-12.1884397008,-14.4602909559,-4.9937680124
2017-10-09 18:29:86,-4.6779470881,-4.6823600197,-7.0696928825,-2.5126808714
2017-10-09 18:29:87,-0.9320882813,1.9191595679,-1.0018648572,0.9570493067
2017-10-09 18:29:88,-12.1595904515,-11.946880374,-15.3556885536,-6.0879766486
2017-10-09 18:29:89,-0.5461992832,-0.2213287617,-1.5615421408,-0.159827127
2017-10-09 18:29:90,0.3712752091,0.8183678726,0.2194845945,-1.1871304657
2017-10-09 18:29:91,-9.0457956468,-9.0423680953,-12.4374938025,-4.5784382226
2017-10-09 18:29:92,4.7562785916,5.0457151577,4.5664919559,1.6375679051
2017-10-09 18:29:93,2.2702484538,2.0286319492,3.1578629966,1.8316434862
2017-10-09 18:29:94,-5.3576229882,-5.8111632899,-4.0736132176,-0.7936466111
2017-10-09 18:29:95,9.6476169915,9.5717113724,11.5063460008,2.8770944917
2017-10-09 18:29:96,4.57882531,3.0315648136,6.0500402749,2.5142466175
2017-10-09 18:29:97,-1.1158597078,-1.8279489166,-0.9751656839,0.1619902674
2017-10-09 18:29:98,13.1670735252,12.34023892,15.6584673083,4.9310417821
2017-10-09 18:29:99,2.9132331342,3.0327906731,4.5465249805,0.8447441354
2017-10-09 18:29:100,1.4812110548,0.3172582405,2.3676004961,1.4256953908
2017-10-09 18:29:101,13.9965718326,12.4771763762,15.9019588188,6.1769878504
2017-10-09 18:29:102,0.5330299627,-0.4710990273,0.1452132628,0.6203423643
2017-10-09 18:29:103,1.5290485348,0.9916368767,2.6864465049,1.3246558518
2017-10-09 18:29:104,11.7445535771,11.2475512833,12.1050733226,3.9807453061
2017-10-09 18:29:105,-4.563485896,-4.67397212,-5.2096528365,-1.3402905759
2017-10-09 18:29:106,-0.2574008777,0.2005890641,0.8355989379,0.9515530168
2017-10-09 18:29:107,6.1795874676,6.1667449455,7.9015673095,3.0378758379
2017-10-09 18:29:108,-8.8605950857,-8.4591757672,-10.6569574145,-2.0769639308
2017-10-09 18:29:109,-0.4165836014,-1.0189801328,-2.1444194844,-0.9172406603
2017-10-09 18:29:110,0.4930369457,2.4546035506,1.1271339321,-0.4496769145
2017-10-09 18:29:111,-12.3727231065,-11.2374037384,-14.3187386372,-5.2140645481
2017-10-09 18:29:112,-1.6647268362,-0.552366706,-2.3997516664,-2.0812574712
2017-10-09 18:29:113,-1.9353086433,-1.1662343375,-4.5114760628,-1.8330303019
2017-10-09 18:29:114,-13.6839950366,-13.4879457713,-15.7295929722,-6.669933525
2017-10-09 18:29:115,-0.55785184,0.7116541557,-1.3268072287,-1.920572507
2017-10-09 18:29:116,-3.7749855328,-3.1071257645,-5.5863547754,-2.8986790395
2017-10-09 18:29:117,-12.3538283168,-11.5232332105,-14.5750422596,-5.0099584441
2017-10-09 18:29:118,4.0213241468,4.0220278073,3.3318151076,-0.2374323276
2017-10-09 18:29:119,-3.7390417922,-3.1931994975,-4.3076566251,-1.5081453898
2017-10-09 18:29:120,-8.9478385473,-7.8167105,-7.5897638955,-4.5583071648
2017-10-09 18:29:121,7.6048757526,7.9589970204,8.9080198225,2.670587555
2017-10-09 18:29:122,-0.6794394608,-2.2440982091,-3.56415635,-0.451564012
2017-10-09 18:29:123,-1.3608885639,-2.3399127605,-1.0440587747,-0.7414993475
2017-10-09 18:29:124,10.820942294,10.8421087983,12.8588188556,3.4066288265
2017-10-09 18:29:125,-0.2696387904,-1.479846712,-0.0369903258,0.343513517
2017-10-09 18:29:126,2.3627144202,1.6911959595,4.1984538916,1.7754601774
2017-10-09 18:29:127,14.2980717668,12.327211379,15.8357937463,4.973153721
2017-10-09 18:29:128,0.2523050484,-0.8066444851,0.3341345022,0.8903578775
2017-10-09 18:29:129,6.9112646726,4.7372532018,9.7661127947,3.319561012
2017-10-09 18:29:130,12.5578749764,11.1893161978,15.0008296967,6.4051669116
2017-10-09 18:29:131,-2.0686299134,-3.3142450402,-0.8692834039,-0.1320473827
2017-10-09 18:29:132,6.2545100693,5.5363809657,7.1861559015,2.6744912185
2017-10-09 18:29:133,7.5860603151,7.1033699527,9.5006391378,3.1655689276
2017-10-09 18:29:134,-6.021731042,-6.8275630706,-6.116348013,-1.6773128628
2017-10-09 18:29:135,3.8715877752,4.9337993418,4.9499678009,1.8156320485
2017-10-09 18:29:136,2.9733886262,2.5136260228,2.6918890999,1.2263395906
2017-10-09 18:29:137,-9.5622119797,-9.074034156,-11.3902492579,-3.3131265627
2017-10-09 18:29:138,1.6710810874,2.9939816012,1.9425353902,1.7622805417
2017-10-09 18:29:139,-3.6862839438,-3.4300827553,-3.8739343253,-0.9948381797
2017-10-09 18:29:140,-10.0916480408,-11.4769954396,-14.404098997,-5.2676513531
2017-10-09 18:29:141,2.7306188989,2.9523176825,0.9093476089,1.3456609459
2017-10-09 18:29:142,142.980717668,-6.2070357451,-9.5586497472,64.0516691162
2017-10-09 18:29:143,142.980717668,-9.9188633083,-13.3942915262,64.0516691162
2017-10-09 18:29:144,142.980717668,3.3764624944,0.0567853427,64.0516691162
2017-10-09 18:29:145,-8.1829042103,-8.1871761973,-11.3916104937,-4.0913660155
2017-10-09 18:29:146,-8.4898189917,-6.7768253359,-8.5809591476,-2.4519716249
2017-10-09 18:29:147,5.217555982,5.4190632693,4.5425157,0.88981864
2017-10-09 18:29:148,-7.393575316,-7.8026382324,-9.5097544846,-3.0562126384
2017-10-09 18:29:149,-2.6604485729,-2.0451013529,-2.4699933212,-1.5576427322
2017-10-09 18:29:150,7.0197078243,7.18597329,7.3847574801,2.5790616139
2017-10-09 18:29:151,-6.3866453307,-5.873672704,-7.4216767149,-0.393253628
2017-10-09 18:29:152,3.4415647882,2.3199611227,4.4476933592,2.4333397499
2017-10-09 18:29:153,9.0993179731,8.3947138489,11.8597052475,4.5487070667
2017-10-09 18:29:154,-2.9591536907,-3.6773150658,-1.8734591108,-1.2093362174
2017-10-09 18:29:155,8.6951716507,7.529297794,10.7394823087,2.2331064141
2017-10-09 18:29:156,10.6323457222,8.3400536369,12.8643217662,5.2925485002
2017-10-09 18:29:157,-1.85089485,-2.3846815697,-2.4130110373,-0.4765042225
2017-10-09 18:29:158,10.8139951547,9.7721477176,14.393735827,2.7867060626
2017-10-09 18:29:159,7.0659201393,6.9538479257,9.3093725576,3.3229270877
2017-10-09 18:29:160,-2.9459249086,-3.077790149,-2.4147634959,-0.0347671348
2017-10-09 18:29:161,9.800055372,9.6622343821,12.6888113441,4.1667042751
2017-10-09 18:29:162,4.0244433938,2.6281477805,3.2006447353,1.0550542967
2017-10-09 18:29:163,-4.9541216373,-5.7849044761,-4.9670077004,-1.4530256742
2017-10-09 18:29:164,7.5673058654,7.5246033802,9.3247082238,3.033286875
2017-10-09 18:29:165,-2.8759600147,-3.5727617635,-5.15910595,-1.866222638
2017-10-09 18:29:166,-7.6366983847,-6.6545589423,-10.2700328106,-4.1686897179
2017-10-09 18:29:167,4.8498065423,4.7713028036,3.8096663162,1.2446211872
2017-10-09 18:29:168,-8.2125757342,-7.7707762286,-11.8280486279,-3.1948904189
2017-10-09 18:29:169,-8.2208069526,-7.6009777241,-10.130662803,-3.1705736696
2017-10-09 18:29:170,1.7693468367,2.8925931275,1.2279840493,-0.6130515232
2017-10-09 18:29:171,-13.0261603206,-10.8833596244,-12.5695465277,-4.6009932019
2017-10-09 18:29:172,-8.2327278074,-5.2342416623,-9.30825674,-2.7192830763
2017-10-09 18:29:173,1.3352873781,1.7215598579,-0.6564910382,-1.4283234906
2017-10-09 18:29:174,-11.1318231088,-11.5999891135,-14.2445346862,-5.0077497655
2017-10-09 18:29:175,-2.9398352907,-1.3567716259,-3.452624313,0.9374187141
2017-10-09 18:29:176,2.4460495665,2.8477884499,1.7966953145,0.1195801501
2017-10-09 18:29:177,-10.0548364553,-9.4877950586,-11.1195184421,-3.9701687645
2017-10-09 18:29:178,2.8550012052,2.3982764225,3.8803259929,0.3663646304
2017-10-09 18:29:179,4.3187147038,3.5762916952,4.1746395922,1.0475970886
2017-10-09 18:29:180,-6.2702499103,-7.262102865,-7.5461987437,-2.8964238039
2017-10-09 18:29:181,8.0495513852,7.8402541518,10.1419225672,3.868229042
2017-10-09 18:29:182,5.5717030325,5.3675896394,6.1200471277,2.3503516533
2017-10-09 18:29:183,-1.8727255038,-2.5831326417,-1.4131259433,-0.5547820623
2017-10-09 18:29:184,12.8406874821,11.4889881347,14.2530109583,4.9745168952
2017-10-09 18:29:185,4.7822911427,4.3513004266,7.6305166334,2.8540440572
2017-10-09 18:29:186,-0.5577880052,-1.1833784775,1.4798677464,1.5058818779
2017-10-09 18:29:187,13.3571743696,12.5081839858,16.8330050736,5.5360494124
2017-10-09 18:29:188,1.9905807803,1.9067017816,2.6966997908,3.3023437243
2017-10-09 18:29:189,0.1761236107,-0.1678377358,1.0978459648,1.7373989548
2017-10-09 18:29:190,11.9600934292,11.3353570468,15.4755732289,4.385285484
2017-10-09 18:29:191,-2.6574682746,-2.8489580871,-1.5512466145,-0.3296555267
